,Date,Author,Vertical,Headline,Description
73,"Created: Apr 3, 2019, 01:00 IST",Renuka Vyavahare,Kannada,Why Sonyaa Gupta changed her surname,"Actress Sonyaa, who is currently seen on the supernatural show, 'Nazar', has changed her surname. She felt that her original surname — Gupta — brought caste consciousness and hence, decided to drop it. The actress has now started using her late grandfather’s name, Ayodhya, as a tribute to him. Sonyaa says, “I feel that surname gives away not just your caste, but also your standing in the social order. Sometimes, it reflects a person’s economic status as well. I find it absurd. I don’t believe in anything that discriminates humans, be it religion or caste. I strongly feel that surname should not be used as a benchmark to check whether someone is superior or not. That’s why I decided to drop my surname.”


Since the last name is mandatory on social networking profiles, Sonyaa randomly entered Pink as her surname. This created a lot of confusion. “I added Pink on an impulse, but it resulted in a lot of confusion with people actually taking it as my surname,” she says, adding, “I never got to meet my grandparents and I don’t know much about them. So, as a tribute to my grandfather, I started using his name as my last name. It makes me feel connected to my roots. Now, I am Sonyaa Ayodhya.”"
74,"Created: Apr 3, 2019, 01:00 IST",Neha Maheshwri,Movies,Ab exercises for a strong core,"Whether you’re a professional athlete, a fitness enthusiast, someone who enjoys exercising or wants to start working out to get in shape, the strength of your core is very important. Getting a chiseled core is not easy — it requires dedication and determination. Having said that, remember that every person is different, so what may work for someone else, may not for you, and vice versa. Here are five ab exercises that will help your achieve a strong core.
Partial sit up
Start by lying on your back and bending your knees. Keeping your arms straight, slowly raise them overhead and start to sit up halfway. Hold on for three seconds and return back to the original position. Repeat this at least 10 times.


Swiss ball crunch This may seem easy but is harder than it looks. Take a medium sized Swiss ball and lie back on the ball with your feet on the floor about shoulder-width apart. Make sure that your lower back is well supported. Now, place your hands at the back of your head, start to curl your body while slowly getting off the ball till you’re sitting up. Repeat this eight to 10 times.

Leg raises

Lie down in front of a pole or a heavy piece of furniture. Hold the the pole just above your head and keep your legs straight. Now, lift them up until they’re completely vertical and slowly lower them back. Make sure you don’t touch your legs to the floor but bring them down just inches above it. Repeat this 10 to 12 times.


Side/ star plank

Bored doing the regular planks? Try the side plank, which is twice as challenging. Start by lying down on your right side and place your right forearm on the floor. Slowly raise your hips, keeping your shoulder, hips and ankles in a straight line, pulling your stomach in. Make sure that your right forearm and right foot are bearing your weight. Hold on for as long as you can and repeat on the other side.

Another effective plank exercise is the star plank where you need to get into a push-up position. Next, place your arms and legs are far apart as possible, so that your body looks like a star. Make sure your palms are flat on the floor and your weight is equally distributed. Hold on for 15 to 20 seconds and repeat twice.


Swiss Ball Plank Circle

Take a Swiss ball and place it on the floor. Place your hands on it as if you’re getting into a push-up with your legs in a straight line behind you. Slowly lower your forearms while they are firmly placed on the ball, keeping yourself straight. Use your elbows and wrists to move the ball in a circular motion, both clockwise and counterclockwise. This exercise requires control so that you don’t lose your balance."
75,"Created: Apr 3, 2019, 01:00 IST",Niharika Lal,Movies,Kanpur ladies enjoy extended Holi celebrations,"During the weeklong Holi celebrations in Kanpur, a ladies social club organised a get-together for its members. The Holi party was organised at a lawn, which was beautifully decorated with red, pink and yellow flowers. The dress code for the party was white and blue and the femme brigade complemented it beautifully with leheria dupattas.
(L) Mona and Bhavya (R) Vineeta (BCCL/ AS Rathor)

Naina, who played a key role in organising the do, welcomed the guests with gulaal. ""In most of the cities colour is only played on the day of Holi but in Kanpur, the festival continues for a week. This makes Kanpur really colourful during Holi,"" said, Naina. We also spotted Neetu, Vineeta, Neha and Mitali playing colours with each other. The party also had loads of naach-gaana as the guests danced on the beats of dhol wallah. Later, Neetu and Anita took over the dhol and made the ladies groove on the beats.

(L) Navneet and Shagun (R) Neetu and Priya (BCCL/ AS Rathor)

We also spotted Navneet, Shagun, Priya, Preeti and Shalini enjoyed the Holi party.

(L-R) Rashmi, Naina, Mridul and Rashmi (BCCL/ AS Rathor)
(L) Rakhi and Varsha (R) Rashmi and Anita (BCCL/ AS Rathor)

(L) Charu and Richa (C) Harsha (R) Hina (BCCL/ AS Rathor)"
76,"Created: Apr 3, 2019, 01:00 IST",Neha Maheshwri,Music,"'Taarak Mehta Ka Ooltah Chashmah' will see a new Dayaben, auditions for the character have begun","Looks like the curious case of missing Dayaben aka Disha Vakani of 'Taarak Mehta Ka Ooltah Chashmah', will soon be solved. The actress, who went on a maternity break in September 2017, has not yet decided whether she will return to the show that made her a household name.

However, the makers of the show are in no mood to wait longer. Producer Asit Kumarr Modi told BT, “I will have to start looking for a new Dayaben. No one is bigger than the show. Taarak Mehta Ka Ooltah Chashmah will go on with a new face, because the family is incomplete without Dayaben.”


Modi also added how his team has waited enough for Disha. He said, “So many working women in the country get pregnant, go on a maternity break, have babies and resume their jobs. Today, women continue to work even after having babies. We have given Disha leave, but we cannot wait forever. Having said that, replacing an actress is not an overnight process. The track has to be planned months in advance. Right now, we have started the initial process of auditioning for the character. We are still not sure what will happen in the future, but I would like to reiterate that the show must go on.”"
77,"Updated: Apr 3, 2019, 13:21 IST",Sumit Jha,Kannada,Priyanka Chopra announces the next song of Jonas Brothers after 'Sucker',"After the reunion, the Jonas Brothers released their first song 'Sucker' and it became a major hit. Now, the trio is all set for their next song.

Read Also
Priyanka Chopra attends her first ever Jonas Brothers show

Nick Jonas' wifey and Bollywood diva Priyanka Chopra took to her Instagram to announce the next song which will be released on Friday. After the success of 'Sucker', the brothers were waiting to drop their new song titled 'Cool'.


Check out her post here:


For the uninitiated, the three brothers, Nick Jonas, Kevin Jonas and Joe Jonas reunited after a gap of six long years. The song 'Sucker' featured the trio's lady loves Priyanka, Danielle Jonas and Sophie Turner"
78,"Apr 3, 2019, 00:00 IST","Sunayana Suresh / TNN / Apr 3, 2019, 00:00 IST",Movies,Arjun Kapoor shares pictures from his vacation in the Maldives; fans ask where is Malaika Arora in comments,"Arjun Kapoor and Malaika Aroa have been the talk of the town. They have been spotted together several times by the paparazzi. From movie dates, attending parties to vacationing together, the duo has been enjoying a great time together.
Read Also
Here’s why Malaika Arora Khan and Arjun Kapoor are unlikely to have a Christian wedding on April 19


Recently, they were snapped at the airport by the shutterbugs and everyone was wondering where they were heading for a vacation. And Arjun's latest on Instagram is the answer of the same. He posted a few pictures from Maldive islands which are quite mesmerising.

Arjun captioned the post, ""Here’s to you Maldives... To many more Sunsets & Selfies... #paradiseisland #holidayvibes""



Fans have left comments on his picture and asked Kapoor to give photo credits to Malaika, as the two of them were together indeed. Not only have these pictures led to everyone concluding that the two were together but many have also come to conclusion that in all probabilities, the two might be getting married this month indeed."
79,"Updated: Apr 3, 2019, 13:18 IST","Bharti Jain / TNN / Updated: Apr 3, 2019, 13:18 IST",Fitness Tips,Emotions and laughter ran high at this trailer launch,"It was an evening filled with emotions and laughter, as the cast and crew of Premier Padmini got together for the trailer launch of the film. “I am a little emotional having watched the trailer. Even when I was watching the dubbing, I was moved to tears. I consider it my good fortune to have got the film,” explains actor Hitha Chandrashekar, who is part of the film’s lead cast.



FACEBOOKTWITTERPINTREST

The evening also saw other members of the cast recollect their experiences of working on Premier Padmini, notably with the Navarasa Nayaka himself, actor Jaggesh. “I have grown up watching Jaggesh sir’s films. So, sharing a frame with him was a great honour,” says Hitha. Vivek Simha, who plays her romantic interest in the film, chips in, “When I heard that I was to play Jaggesh sir’s son, I was very nervous. Even today, we revel in listening to Jaggesh sir’s songs and watching his signature steps. In this film, you’ll get to see him dancing.” Meanwhile, with his characteristic fun banter, Jaggesh kept the people around in splits. Also reminiscing his time on the sets, he says, “It was as if I was working with my family on the film.” The trailer of the film will be launched online on Ugadi."
80,"Apr 3, 2019, 03:56 IST","TNN / Apr 3, 2019, 03:56 IST",Music,Ramya Krishnan teams up with Amitabh Bachchan again,"They had teamed up in 1998 for a Hindi film, Bade Miyan Chote Miyan. And now, 20 years later, the two are pairing up again for a Tamil film. Yes, Ramya Krishnan will be seen opposite Amitabh Bachchan in his Tamil debut, Uyarndha Manidhan, which also stars SJ Suryah in the lead.

Confirming the new, director Tamilvaanan, who’d helmed Kalvanin Kadhali with Suryah, says, “Ramya ma’am has already started shooting for the film, and she will be filming with us for another week. We are shooting in Mumbai now, and she’s paired opposite Amitabhji. The fact that two actors of such high caliber are coming together after such a long gap is quite exciting. She was quite happy to do this role.”"
81,"Updated: Apr 3, 2019, 13:39 IST","TNN / Updated: Apr 3, 2019, 13:39 IST",Bollywood,Ugadi special on Sa Re Ga Ma Pa Li'l Champs this weekend,"On Ugadi festival eve, in the singing reality show Sa Re Ga Ma Pa Li’l champs, contestants will sing songs which celebrates Ugadi festival. The show is hosted by Anushree.

Apart from contestants of Sa Re Ga Ma Li’l Champs, contesants of previous seasons Vijeth, Hanumantha, Keerthan Holla, Chennappa and Sunil will also set the stage on fire with their performances. This time judges Hamsalekha, Vijay Prakash and Arjun Janya without judging the performances they will perform with contestants. The episodes will be aired from 8pm to 10pm."
82,"Apr 3, 2019, 04:00 IST","TNN / Apr 3, 2019, 04:00 IST",Hindi,"If anyone wants to run this theatre, I would be more than happy: Dipen Mitra","Only three weeks back, everything seemed normal. Dipen Mitra, the proprietor of Mitra cinema — an iconic theatre in north Kolkata — turned up in crisp white dhoti-kurta and wore a smile to greet a motley group of movie lovers. He offered a platter of korapaaker sandesh and said it would be a huge loss for those who didn’t savour them. He showed rare pictures of old Kolkata and reminisced the golden era of Bengali cinema. Though he didn’t speak of his decision to close the theatre that day, he did say he was concerned about what would happen to it after he’s gone. The theatre, which was earlier known as Chitra cinema, changed hands and began its journey as Mitra in 1963. After decades of running movies of Satyajit Ray, Mrinal Sen, Ritwik Ghatak and many contemporaries, it downed shutters at the beginning of the month. With it, more single screens seem to be staring at a bleak future. In a brief chat, Dipen Mitra talks about his decision that has proved how April is indeed the cruellest month. Excerpts:
What made you decide to down shutters?

As we speak, I’m sitting at a hospital for a check-up. I’ve been ailing for quite some time now and didn’t want to pass my burden onto others. When people ask me, ‘How are you doing Dipenda?’, I tell them, ‘First class!’ But I’ve developed quite a few problems. I invested `20 lakh recently to renovate the theatre, but health issues started cropping up one after the other.
What about your family?

I asked my sister-in-law about the problem. She too isn’t keeping well and can’t walk much. Then I asked my nephew if he would take responsibility of the theatre. My mother didn’t get me married. I had told her many times that fix a match for me, but that never happened (laughs). But she left me without foreseeing this future. Jokes apart, I asked my nephew, who is a chartered accountant and lives in Gurgaon. He has a demanding job and he clearly told me neither could he shift here nor did the family business interest him. He said he would ask a legal firm to look into the matter. What I realised after talking to them was that my employees would incur great losses if they took charge. I called my employees and asked them, ‘Tora ki korbi bol?’ They said they were ready to sign legal papers should I ask them to. I spoke to the lawyers and drafted an MoU. I summoned an employee and asked him to read it out to the rest. ‘Tui toh porashona korechhish, pore shona,’ I told him. He said if I’d read it, they had no problems with it. They left the papers on my table. I’ve cleared all their dues. They said, ‘Sir, apni ki korben?’ They are worried about me. Frankly, if anyone wants to run this theatre, I’d be more than happy.

What do you plan to do with the theatre?

As of now, I don’t know. My nephew has asked me to sell it off. I am 75. At this age, I’m not getting married and I don’t need to worry about my wife or kids! My brother passed away at an early age. All I have is my sister-in-law, nephew and his family.

Will you from now on lead a retired life?

I was never into any service, so there’s no question of retirement. I have nothing to gain or lose. About what I’ll do in future, only time will tell. See, my idea was never to close this theatre. Otherwise, I wouldn’t have spent a huge amount on changing the transformer and upgrading the sound system. Only this morning, the air-conditioner maintenance person turned up at my door. Till I’m alive, I’ll keep maintaining the building. I am worried about my employees.

What was the last running film?

Kesari. A lot of people are writing on social media that Mitra is turning into a mall, but fact is, I haven’t sold the theatre yet. These days, rumours spread very fast. Someone asked me why I was going to a hospital in the morning and said he would fix up an appointment with a cardiac surgeon. I said I don’t have a heart problem. I don’t know why people can’t let others be!

Film frat mourns the closing of iconic theatre

‘Single screens are losing out to plexes in Kolkata’

Dipenda’s character is akin to the one I showed in Cinemawala. I, in fact, used his trophies in the film. I share a long association with him. When my first film, Waarish, released, he had come for its private screening at a south Kolkata theatre. He was so moved that he blessed me for the film. I’ve been to his theatre for many films. Nagarkirtan was running there recently and I visited the theatre after Drishtikone’s release last year. Every time I went there, he would treat me to cutlets. Fact is, single screens are losing out to plexes in Kolkata. They can’t give the wholesome experiences that plexes can now give — there’s no window-shopping involved and it doesn’t give you the false feeling of a Singapore trip. It’s very sad for Bengali cinema and I just hope the theatre reopens soon.
— Kaushik Ganguly, filmmaker

‘There’s no charity involved in the business of cinema’

Last year went well for Mitra. I know that as I visited the theatre after the release of Uma and Ek Je Chhilo Raja. Dipenda treated me to sweets and said those were available only in north Kolkata. About this year, I’m not too sure. He is a khandaani businessman and this news came as a big blow. At a time when a plot of land in Kolkata comes at a premium, it may be commercially more viable to exploit a big property. There’s no charity involved in the business of cinema. I’m only
hoping that if a multi-storeyed building comes up in its place, there should be one floor to screen films.
— Srijit Mukherji, filmmaker

‘This is a huge blow for Bengali cinema’

I share an old association with Dipenda. The first time I got involved with distribution was when Rituparno Ghosh made Unishe April. I knew the film could not be accommodated in Mitra and the team was heartbroken. Some of my films like Sudhu Tumi and Cross Connection have run there. I’d often visit the place and tell Dipenda, ‘Get married now.’ It’s such a theatre where Mon Janena can run, much like Cross Connection or Haami. So, it’s a mixed audience. For me, it’d be a reality check every time I went there. Dipenda doesn’t mince words and he’d tell me where a film stood. This is a huge blow for Bengali cinema.

— Sudeshna Roy, filmmaker


‘I don’t know what is the reason behind this’

It’s a big loss for the film industry. I don’t know what is the reason behind this. As a single theatre, Mitra holds an important place in Kolkata. It also has an audience. I am hoping the authorities will have a dialogue and work towards resolving this deadlock.

— Prosenjit Chatterjee, actor"
83,"Apr 3, 2019, 04:00 IST","TNN / Apr 3, 2019, 04:00 IST",Hollywood,Meet Bengaluru's acid attack survivor who is an inspiration to many,"In 2006, a beautiful 23-year-old Pragya Prasun was subjected to her worst nightmare. Barely 10 days after she got married, a jilted lover threw acid on her face. Ever since, her life has been about accepting the truth and trying to move ahead. Now, 35-year-old Pragya, who recently won the Nari Shakti Puraskar — the highest civilian award given to women in India — talks to us about her journey from a meek and conflicted acid attack victim to a survivor and a beacon of hope for many.
‘My foundation was born out of my greatest sorrow’
Her struggle with burns and rehabilitation made Pragya rethink her life goals. “I was lucky to be from an educated and a financially-stable family, who asked the right questions. But while I was undergoing treatment in hospital, I saw a lot of burn victims, who were losing hope, as there was no one to guide them. So, I decided to help them. I started guiding them to the right doctor and giving them information about their diet and the treatments for scars,” she says. In a bid to help burn victims ask the right question and seek help at the right places, Pragya started an NGO, which has rehabilitated more than 200 acid attack victims across the country. From guiding patients to conducting burn camps, where nearly 25 surgeries for burns patients across the country are done in 3-4 days, her foundation (started in 2013) has come a long way. “Other than that, we get surgeries done for the patients one by one or in a group of 2-3 patients throughout the year in Bengaluru, Chennai, Delhi and Mumbai. The surgery count goes up till 3-4 each month. For four years, we have also been getting laser treatment and hair transplant done for 1-2 patients every month,” she adds.

‘I tried to push my husband away’
With 47% burns and hypertrophic scars all over, it was anything but easy going for Pragya after the attack. “I was a newly-married woman and barely 12 days into my marital life when I was attacked. To look at myself like that in the mirror impacted me deeply. I thought that my marriage would not sustain, as the first three years were difficult. I felt guilty about messing up my husband’s life and I tried to push him away. But he has been very supportive and has taken good care of me,” says Pragya. “I had suffered two miscarriages and was not in a good mind space, but after my first daughter was born in 2009, my life changed. She was the positivity in my life,” she says.

‘It is definitely not easy for my daughter’

But even with a positive family, all has not been rosy for Pragya or her two daughters, as society has been harsh on them. “It used to be extremely difficult to just take my daughters to the playground or drop them at school, as parents would look away from us and even pull their children away. At school, my daughters are asked, ‘Why does your mother look like a ghost?’ But both my daughters are now strong and have developed coping skills,”

says Pragya, who feels that society is yet to become more accepting of acid attack victims.


‘Hope Chappak makes people more accepting of acid attack survivors’

This is why Pragya hopes that Deepika Padukone’s film with Meghna Gulzar, titled Chappak, is a changemaker. Chappak is based on an acid attack survivor. “I am glad that Deepika and a seasoned director like Meghna Gulzar have picked the issue of acid attacks as a subject for their film. I was amazed to see the first look. At the same time, I lament that the makeup Deepika wore for the movie is an everyday reality for many like me. I

sincerely hope that the way people accept her in the movie is how they accept real-life survivors. I hope that the awareness this creates highlights the menace of acid attack in the society and is, therefore, eradicated from our world forever.”"
84,"Updated: Apr 3, 2019, 09:53 IST","TNN / Updated: Apr 3, 2019, 09:53 IST",Hindi,Comic fraternity enraged after patron flings beer mug at city comedian,"What should have been a regular gig on Saturday night for Bengaluru-based stand-up comic Akshay Laxman at a city hot spot turned out to be quite the nightmare for him. “I was the last act that evening and there were a couple of disgruntled audience members who wanted some of the earlier comics to apologise for a few jokes. When it didn’t happen, one of them flung a beer mug at me,” Akshay recalls, adding that he is set to file a complaint against the offender. “This was a night that came with a prior warning. It was called Undressed Comedy and the guests knew that there would be some sexually explicit jokes. Through the course of the night, there were some jokes that centred on pedophilia,” explains Akshay.

Akshay adds. “I guess the jokes got the better of them and since I was the last act, they tried to ask for some kind of an apology, but seeing none coming, the mug was hurled at me in frustration.”

The incident was shared by Akshay on his Facebook page, which was how many other comics heard of it and then condemned the act. Sanjay Manaktala points out, “It is not uncommon for someone to take offence to jokes. But the best feedback in comedy is laughter and these guys could have kept quiet. Inciting violence is definitely not right. And the people who are being accused here are definitely not uneducated. I have seen a similar incident once. I was waiting for my turn for a show in Singapore, where there was another person on stage before me. He was making fun of Australians and their drinking habits, when one of the members took offence and threw a beer bottle. The audience member, luckily for me, was taken out before I went on stage. But at such shows, it is hard to know when someone is offended and how they would react.”

Danish Sait, too, adds that this incident is unacceptable. “People need to stop being righteous. When they have gone to a night that has stand-up comedy, they understand that comedy is a heightened state of a regular situation. If one doesn’t agree to the jokes, the best is to get up and leave. Just because one has paid, no one will dance to your tunes. A comic usually prepares a set of jokes that he likes. Hecklers, who are just trolls from the online world in real life, are always around,” he adds.

But how does one learn to handle these hecklers? “It takes a lot of practice. I have seen a lot of senior comics like Sorabh Pant go from ignoring to addressing them to now just asking them to shut up and not ruin the show,” says Danish. Sanjay adds, “Another thing most comics end up doing is building their own network. All of us have friends in the legal sector and other corporate bodies.”"
85,"Updated: Apr 3, 2019, 12:27 IST","TNN / Updated: Apr 3, 2019, 12:27 IST",Bollywood,Ajith wraps up shoot of Nerkonda Paarvai,"The team of Ajith’s upcoming film, Nerkonda Paarvai, is working hard to ensure the film releases as planned. We hear that Vinoth has completed shooting the film, and is set to start the post-production work soon.

A source from Hyderabad, where the film was wrapped up, tells us, “The entire shooting process of the film was completed the day before, with Ajith canning his last scene. The film went on floors in Chennai in December, and portions that didn’t require him to be part of it were shot there. The actor joined the team in Hyderabad, and was shooting there for almost two months.”


The film is an official remake of Bollywood flick Pink, which starred Amitabh Bachchan and Taapsee. While Ajith has stepped into Amitabh’s shoes, Shraddha Srinath will be playing Taapsee’s role. The film also stars Vidya Balan, Andrea Tariang (who’s reprising her role from the original), Abirami Venkatachalam, Adhik Ravichandran and Delhi Ganesh.

The source says, “While the storyline has been retained, a few scenes have been added for Ajith and Vidya Balan. Dubbing work will start in the next few days. Meanwhile, Ajith is expected to begin work on his next film in the Boney Kapoor-Vinoth combination soon.”"
86,"Updated: Apr 3, 2019, 12:31 IST","TNN / Updated: Apr 3, 2019, 12:31 IST",Bollywood,Remixes are a challenge to work on: Gourov Dasgupta,"After creating music together for almost a decade and tasting success with songs like Saara Zamana (Kaabil) and Hawa Hawa (Total Dhamaal), music duo Gourov-Roshin say that today remixes work because everyone asks for them. We spoke to Gourov Dasgupta, who was in Bengaluru recently, about his love for the city, indie artistes and more. Excerpts:
Bengaluru’s music scene has changed over the years
When I used to live in Bengaluru, rock music was at its best. I had come down to the city to watch Iron Maiden perform live. A lot has changed now, though. But that’s the case everywhere. DJs have taken over and people like chill-out music and proper musicians have slowly ventured in to the film industry or are composing for advertisements, because there’s no other way to survive. I have performed at several music

festivals in Bengaluru, and that’s when one could experience the city’s love for music.

Working on remixes is a challenge

Gourov, who recently tasted success with Total Dhamaal, says that remixing a classic requires a lot of work. “It’s extremely challenging because, no matter how hard you work, a certain section will always criticise you and compare it with the original, whereas some will be happy with it. Honestly, as musicians, we would not want to do recreations. I think that’s a global sentiment. But recreations seem to be working because, every record label and every producer wants them. There is something that seems to be clicking with the audience. Probably, the younger generation hasn’t heard the original version and they are enjoying the rehashed version,” says Gourov, adding that, as composers, they try to add their style to any recreation they work on. “Everyone wants to work on original compositions but, sometimes we don’t have a choice. If a record label says that they want this particular thing, one has to do it or else someone else will do it,” says Gourov. But doesn’t that curtail the freedom of a music composer? “It does. But you need to be in a position to decide a lot of things. Thankfully, we are able to strike a balance,” adds Gourov.


Indie artists are getting more exposure today

Unlike earlier, indie artistes today are performing several gigs, says Gourov. “Things are getting better for indie artistes. There are many pop rock bands and other indie acts that are doing well today, but rock music in particular, I’m not sure of. There are so many of them performing at big venues,” he sums up."
87,"Apr 3, 2019, 04:00 IST","TNN / Apr 3, 2019, 04:00 IST",Hindi,Natasarvabowma world television premiere soon,"Superhit movie Narasarvabowma which got released on February7 will be soon premiered on television. The film which saw Puneeth Rajkumar, Anupama Parameswaran and Rachita Ram in lead roles received good response across Karnataka.

In the film which saw Puneeth Rajkumar teaming up with Pavan Wodeyar for the second time. The crux of the story is Puneeth as Gagan Dixit working in Kolkata as a photo journalist lands in Bengaluru in search of advocate Shruthi, with whom he will be in love. There is an acton, comedy and thriller elements. The film also has P Ravishankar, B Saroja Devi, Sadhu Kokila and Achyuth Kumar in significant roles."
88,"Updated: Apr 3, 2019, 12:18 IST","TNN / Updated: Apr 3, 2019, 12:18 IST",Fitness Tips,Karthick Naren and Malavika Nair play extended cameos in 'Kannadi',"Even as he’s busy with his directorials, Karthick Naren has committed to another project. This time around, he will be acting in Caarthick Raju’s Kannaadi, which stars Sundeep Kishan and Anya Singh in the lead. Joining him is Malavika Nair, who wowed the audience with her performance in Cuckoo.

Confirming the news, Sundeep, who’s acted in Karthick’s Naragasooran, says, “Karthick and I are good friends, and when we wanted someone young for this role, we thought he’d fit the bill. We’ve been bonding so much now; in fact, I’ve been shopping for his costumes!”


He adds, “Malavika is a great performer, and she is also very choosy about her roles. When we got in touch with her, she liked the way her character played out.”

Both Karthick and Malavika have completed shooting their portions. “It’s a Tamil-Telugu bilingual and I’m backing the Telugu version ( titled Ninu Veeedani Needanu Nene). They have shot for both the versions over the weekend. They have very integral roles, more like an extended cameos. It’s quite exciting to have this kind of casting for the film,” he says."
89,"Updated: Apr 3, 2019, 09:58 IST","Abhinav Garg / TNN / Updated: Apr 3, 2019, 09:58 IST",Events,"Exercises, diets & hitting the gym – Bengaluru students’ obsession with working out","In today’s day and age where body-shaming has become a matter of concern, millennials are taking their fitness seriously. With different exercising techniques and diets, college students are fitter than ever and leave no stone unturned to look and feel their best.
Hitting the gym and indulging in sporting activities
For many city students, hitting the gym on a daily basis is a must and this is due to various reasons. “I go to the gym daily and spend at least two hours in there. I was into sports when I was in school and once I came to college, I didn’t want to lose touch with my physical activities. So, I began hitting the gym. In addition to this, I run as well,” says Tarun Kumar, a student of Presidency University. Students don’t just hit the gym, but do exercises depending on their strengths and their goals. “I like to lift weights. I was doing functional training, but realised that I couldn’t do a handstand. I was also losing a lot of weight because I wasn’t eating right. That’s when I stopped functional training and started lifting weights and saw the difference,” says Greeshma Ramesh, a student of St. Joseph’s College of Commerce, who hits the gym six days a week. Today, students love to experiment with different exercising techniques. “I indulge in different forms of workouts like power yoga, aerobics, Tabata and more,” says Preksha Vijay, a student of Nitte Meenakshi Institute of Technology.


Diet plays a crucial role

If you exercise regularly, but don’t follow a diet, it doesn’t serve the purpose, say students, which is why they too follow a strict diet based on their exercise routine. “Diet is a very important aspect of one’s fitness regime. For example, other than hitting the gym, I follow intermittent fasting with a keto diet. Keto requires you to replace carbs with fat. Intermittent fasting is where one fasts for 16 hours and consumes meals in the eight hour window,” says Preksha.

But following a diet is not easy and cheat days too are done keeping in mind the repercussions. “People say that most of your fitness regime is mostly 30% workout and 70% diet. So yes, diet is important, especially when you’re building muscles. I consume calorie-surplus food and make sure that I consume a particular amount of calories every day,” says Tarun, adding that chicken, eggs and other natural proteins are included in his diet on a daily basis. “Following a diet is hard because calories matter and it’s not easy. Even when I have a cheat day, it has to be calories-based. I cannot go overboard. My diet is specific; I consume brown rice, brown bread and chicken breast, in addition to other things,” says Greeshma.


Exercising doesn’t come cheap

Gym subscriptions and following diets are a costly affair and students spend anywhere between `7,000 to `10,000 a month for this. “Along with training fees, protein shakes and supplements, my every month expenditure on my fitness routine is approximately `7,000,” says Preksha. Similarly, Greeshma says that since she follows a strict diet, it does cost her a lot every month. “Since protein powders are expensive, the overall cost of my fitness regime automatically goes up. Since I like having chicken and eggs every day, my per month expenses are anywhere between `5,000 and 7,000,” Greeshma sums up."
90,"Updated: Apr 3, 2019, 10:02 IST","TNN / Updated: Apr 3, 2019, 10:02 IST",Hindi,Remixes are a challenge to work on: Gourov Dasgupta,"After creating music together for almost a decade and tasting success with songs like Saara Zamana (Kaabil) and Hawa Hawa (Total Dhamaal), music duo Gourov-Roshin say that today remixes work because everyone asks for them. We spoke to Gourov Dasgupta, who was in Bengaluru recently, about his love for the city, indie artistes and more. Excerpts:
Bengaluru’s music scene has changed over the years
When I used to live in Bengaluru, rock music was at its best. I had come down to the city to watch Iron Maiden perform live. A lot has changed now, though. But that’s the case everywhere. DJs have taken over and people like chill-out music and proper musicians have slowly ventured in to the film industry or are composing for advertisements, because there’s no other way to survive. I have performed at several music

festivals in Bengaluru, and that’s when one could experience the city’s love for music.

Working on remixes is a challenge

Gourov, who recently tasted success with Total Dhamaal, says that remixing a classic requires a lot of work. “It’s extremely challenging because, no matter how hard you work, a certain section will always criticise you and compare it with the original, whereas some will be happy with it. Honestly, as musicians, we would not want to do recreations. I think that’s a global sentiment. But recreations seem to be working because, every record label and every producer wants them. There is something that seems to be clicking with the audience. Probably, the younger generation hasn’t heard the original version and they are enjoying the rehashed version,” says Gourov, adding that, as composers, they try to add their style to any recreation they work on. “Everyone wants to work on original compositions but, sometimes we don’t have a choice. If a record label says that they want this particular thing, one has to do it or else someone else will do it,” says Gourov. But doesn’t that curtail the freedom of a music composer? “It does. But you need to be in a position to decide a lot of things. Thankfully, we are able to strike a balance,” adds Gourov.


Indie artists are getting more exposure today

Unlike earlier, indie artistes today are performing several gigs, says Gourov. “Things are getting better for indie artistes. There are many pop rock bands and other indie acts that are doing well today, but rock music in particular, I’m not sure of. There are so many of them performing at big venues,” he sums up."
91,"Apr 3, 2019, 04:06 IST","TNN / Apr 3, 2019, 04:06 IST",Bollywood,'Kalank' trailer will be out tomorrow; Alia Bhatt shares the glimpse,"Abhishek Varman's 'Kalank' has been the talk of the town since the announcement. The posters and the teaser have raised excitement among the audience to watch the film. The songs also received a lot of appreciation and love.

Read Also
'Kalank' action director Sham Kaushal reveals Varun Dhawan has pushed his limits for the film

Now, the makers are all set to release the trailer of the film on 3rd April. And Alia Bhatt took to her social media handles to share the glimpse of the same. She captioned the video, ""Kalank trailer tomorrow! #Kalank@duttsanjay #AdityaRoyKapur @Varun_dvn @sonakshisinha @MadhuriDixit @abhivarman"".


Starring Sanjay Dutt, Madhuri Dixit Nene, Varun Dhawan, Sonakshi Sinha and Aditya Roy Kapur, the film is all set to hit the theatres on April 17."
